"","x"
"238",NA
"239",NA
"240",NA
"241","texas"
"242",NA
"243","utah"
"244","florida"
"245",NA
"246",NA
"247","utah"
"248",NA
"249","oregon"
"250","kansas"
"251","illinois"
"252",NA
"253",NA
"254","pennsylvania"
"255","new hampshire"
"256","new york"
"257",NA
"258","florida"
"259","illinois"
"260",NA
"261",NA
"262","indiana"
"263","california"
"264",NA
"265",NA
"266",NA
"267","missouri"
"268","illinois"
"269","illinois"
"270",NA
"271",NA
"272",NA
"273",NA
"274","florida"
"275",NA
"276",NA
"277",NA
"278","new york"
"279","kentucky"
"280","texas"
"281","california"
"282",NA
"283","california"
"284",NA
"285","north carolina"
"286",NA
"287","district of columbia"
"288","north carolina"
"289","new jersey"
"290",NA
"291","district of columbia"
"292","idaho"
"293","tennessee"
"294","florida"
"295","georgia"
"296","new york"
"297","tennessee"
"298","nevada"
"299",NA
"300",NA
"301",NA
"302","kentucky"
"303","illinois"
"304",NA
"305","kansas"
"306","illinois"
"307","new jersey"
"308","california"
"309","kansas"
"310",NA
"311",NA
"312","texas"
"313","illinois"
"314","new jersey"
"315","california"
"316",NA
"317","missouri"
"318",NA
"319","kansas"
"320",NA
"321","idaho"
"322","pennsylvania"
"323",NA
"324","wisconsin"
"325",NA
"326","ohio"
"327",NA
"328",NA
"329","missouri"
"330",NA
"331",NA
"332","massachusetts"
"333","illinois"
"334","nevada"
"335","indiana"
"336","kansas"
"337",NA
"338","district of columbia"
"339",NA
"340",NA
"341",NA
"342","california"
"343","california"
"344","texas"
"345","north carolina"
"346","new york"
"347","idaho"
"348","missouri"
"349","missouri"
"350",NA
"351","georgia"
"352",NA
"353",NA
"354","california"
"355","ohio"
"356",NA
"357","pennsylvania"
"358",NA
"359",NA
"360",NA
"361","arizona"
"362","ohio"
"363","nevada"
"364",NA
"365","oklahoma"
"366","north carolina"
"367","maryland"
"368",NA
"369","tennessee"
"370",NA
"371","oklahoma"
"372","washington"
"373","new jersey"
"374",NA
"375","arkansas"
"376","texas"
"377",NA
"378","maryland"
"379","texas"
"380",NA
"381",NA
"382",NA
"383","florida"
"384",NA
"385","virginia"
"386",NA
"387",NA
"388","north carolina"
"389","florida"
"390",NA
"391","texas"
"392","oregon"
"393","north carolina"
"394",NA
"395","texas"
"396","california"
"397",NA
"398","oklahoma"
"399","nevada"
"400",NA
"401",NA
"402",NA
"403",NA
"404",NA
"405",NA
"406",NA
"407",NA
"408",NA
"409","california"
"410",NA
"411",NA
"412","new york"
"413","arkansas"
"414",NA
"415",NA
"416",NA
"417",NA
"418","california"
"419",NA
"420","massachusetts"
"421",NA
"422",NA
"423","texas"
"424",NA
"425",NA
"426","florida"
"427",NA
"428",NA
"429",NA
"430",NA
"431",NA
"432","pennsylvania"
"433","virginia"
"434","kentucky"
"435",NA
"436","washington"
"437",NA
"438",NA
"439",NA
"440","new jersey"
"441",NA
"442",NA
"443",NA
"444",NA
"445",NA
"446",NA
"447",NA
"448","georgia"
"449","district of columbia"
"450",NA
"451","south carolina"
"452","arizona"
"453",NA
"454","ohio"
"455",NA
"456",NA
"457","district of columbia"
"458",NA
"459",NA
"460","new york"
"461","new york"
"462","district of columbia"
"463","california"
"464","kansas"
"465","alabama"
"466",NA
"467","washington"
"468","kansas"
"469",NA
"470","kansas"
"471","north carolina"
"472","california"
"473",NA
"474",NA
"475",NA
"476",NA
"477",NA
"478",NA
"479",NA
"480",NA
"481","kansas"
"482",NA
"483",NA
"484","nevada"
"485","south carolina"
"486","arizona"
"487","ohio"
"488",NA
"489",NA
"490","new mexico"
"491","north carolina"
"492",NA
"493","south carolina"
"494",NA
"495",NA
"496",NA
"497",NA
"498","utah"
"499","illinois"
"500",NA
"501",NA
"502",NA
"503",NA
"504",NA
"505","virginia"
"506","north carolina"
"507","new york"
"508","new york"
"509","new york"
"510","new york"
"511",NA
"512","new york"
"513","new york"
"514","new york"
"515","new york"
"516",NA
"517",NA
"518","new york"
"519","new york"
"520","new york"
"521",NA
"522","new york"
"523","new york"
"524","ohio"
"525","new york"
"526",NA
"527",NA
"528","west virginia"
"529","texas"
"530",NA
"531",NA
"532",NA
"533",NA
"534","california"
"535","arizona"
"536","ohio"
"537",NA
"538","california"
"539","oregon"
"540","florida"
"541",NA
"542",NA
"543","california"
"544",NA
"545","new jersey"
"546","maryland"
"547",NA
"548","south carolina"
"549",NA
"550","washington"
"551","georgia"
"552",NA
"553","oregon"
"554",NA
"555",NA
"556","west virginia"
"557","new york"
"558",NA
"559","district of columbia"
"560",NA
"561",NA
"562","virginia"
"563","north carolina"
"564","california"
"565",NA
"566",NA
"567","missouri"
"568","texas"
"569",NA
"570","kansas"
"571",NA
"572","washington"
"573",NA
"574",NA
"575",NA
"576",NA
"577","illinois"
"578","indiana"
"579",NA
"580",NA
"581","nevada"
"582",NA
"583",NA
"584","montana"
"585","california"
"586",NA
"587","pennsylvania"
"588","colorado"
"589","maryland"
"590","nevada"
"591",NA
"592",NA
"593","kansas"
"594","washington"
"595","michigan"
"596",NA
"597",NA
"598",NA
"599","ohio"
"600",NA
"601",NA
"602","california"
"603",NA
"604",NA
"605","florida"
"606",NA
"607","alabama"
"608","south dakota"
"609",NA
"610",NA
"611","montana"
"612","california"
"613","illinois"
"614","georgia"
"615","florida"
"616",NA
"617",NA
"618","alabama"
"619",NA
"620",NA
"621",NA
"622","florida"
"623",NA
"624","wisconsin"
"625","new york"
"626",NA
"627","massachusetts"
"628","texas"
"629","texas"
"630",NA
"631",NA
"632",NA
"633","delaware"
"634","pennsylvania"
"635",NA
"636",NA
"637","georgia"
"638","texas"
"639",NA
"640",NA
"641",NA
"642",NA
"643",NA
"644","georgia"
"645",NA
"646",NA
"647","oregon"
"648",NA
"649",NA
"650",NA
"651",NA
"652",NA
"653",NA
"654","nebraska"
"655",NA
"656",NA
"657","georgia"
"658","oregon"
"659",NA
"660",NA
"661",NA
"662",NA
"663","oregon"
"664","oklahoma"
"665","oregon"
"666","texas"
"667",NA
"668",NA
"669",NA
"670","georgia"
"671","new mexico"
"672",NA
"673",NA
"674",NA
"675",NA
"676",NA
"677",NA
"678","california"
"679",NA
"680",NA
"681","kansas"
"682",NA
"683","new mexico"
"684",NA
"685","colorado"
"686","california"
"687",NA
"688",NA
"689","oklahoma"
"690",NA
"691",NA
"692","oregon"
"693","south carolina"
"694",NA
"695",NA
"696",NA
"697","kentucky"
"698",NA
"699","texas"
"700",NA
"701","arizona"
"702","california"
"703",NA
"704",NA
"705",NA
"706",NA
"707",NA
"708",NA
"709",NA
"710","nevada"
"711","new mexico"
"712","new jersey"
"713",NA
"714",NA
"715",NA
"716","texas"
"717","texas"
"718","kansas"
"719",NA
"720",NA
"721",NA
"722",NA
"723","tennessee"
"724",NA
"725","new jersey"
"726","florida"
"727",NA
"728",NA
"729","texas"
"730","california"
"731","maryland"
"732","indiana"
"733",NA
"734",NA
"735","kentucky"
"736",NA
"737","texas"
"738","district of columbia"
"739","south carolina"
"740","colorado"
"741",NA
"742",NA
"743",NA
"744","arizona"
"745","north carolina"
"746","texas"
"747","georgia"
"748","wisconsin"
"749","texas"
"750","south carolina"
"751","new york"
"752","texas"
"753","michigan"
"754","south carolina"
"755","michigan"
"756","california"
"757","colorado"
"758",NA
"759","new jersey"
"760",NA
"761","arizona"
"762",NA
"763","kansas"
"764",NA
"765","california"
"766","florida"
"767",NA
"768","california"
"769","massachusetts"
"770",NA
"771","connecticut"
"772","ohio"
"773","texas"
"774",NA
"775","california"
"776","west virginia"
"777",NA
"778",NA
"779",NA
"780",NA
"781","wisconsin"
"782",NA
"783","georgia"
"784",NA
"785",NA
"786","nevada"
"787",NA
"788",NA
"789","new york"
"790","wyoming"
"791",NA
"792","district of columbia"
"793",NA
"794",NA
"795",NA
"796","california"
"797",NA
"798","maryland"
"799",NA
"800","utah"
"801",NA
"802",NA
"803",NA
"804","virginia"
"805","south carolina"
"806","kansas"
"807","california"
"808","louisiana"
"809","illinois"
"810",NA
"811","washington"
"812","california"
"813",NA
"814","california"
"815",NA
"816",NA
"817",NA
"818",NA
"819","washington"
"820","ohio"
"821",NA
"822",NA
"823","texas"
"824","new york"
"825",NA
"826","wisconsin"
"827","tennessee"
"828",NA
"829","oklahoma"
"830","florida"
"831",NA
"832",NA
"833",NA
"834","wisconsin"
"835",NA
"836",NA
"837","michigan"
"838",NA
"839",NA
"840","arizona"
"841","michigan"
"842",NA
"843","michigan"
"844",NA
"845","idaho"
"846","arkansas"
"847","texas"
"848",NA
"849",NA
"850",NA
"851","texas"
"852","pennsylvania"
"853","florida"
"854","indiana"
"855",NA
"856",NA
"857",NA
"858",NA
"859","oklahoma"
"860",NA
"861",NA
"862",NA
"863",NA
"864",NA
"865","alabama"
"866",NA
"867",NA
"868","iowa"
"869",NA
"870","kansas"
"871",NA
"872",NA
"873","missouri"
"874","massachusetts"
"875","kansas"
"876","new york"
"877",NA
"878",NA
"879",NA
"880","north carolina"
"881","arizona"
"882",NA
"883","indiana"
"884","north carolina"
"885","connecticut"
"886",NA
"887","texas"
"888",NA
"889","florida"
"890","texas"
"891",NA
"892",NA
"893","pennsylvania"
"894","louisiana"
"895",NA
"896","montana"
"897",NA
"898","kansas"
"899","west virginia"
"900","west virginia"
"901","utah"
"902","florida"
"903",NA
"904","california"
"905",NA
"906","north carolina"
"907",NA
"908",NA
"909",NA
"910","california"
"911","oklahoma"
"912","florida"
"913",NA
"914",NA
"915",NA
"916","virginia"
"917","south dakota"
"918",NA
"919",NA
"920",NA
"921",NA
"922","tennessee"
"923","michigan"
"924",NA
"925","oregon"
"926","california"
"927","maryland"
"928","michigan"
"929",NA
"930","illinois"
"931",NA
"932","california"
"933",NA
"934",NA
"935","new york"
"936",NA
"937","district of columbia"
"938","nevada"
"939","district of columbia"
"940",NA
"941",NA
"942","mississippi"
"943","california"
"944",NA
"945",NA
"946",NA
"947",NA
"948",NA
"949","california"
"950","texas"
"951",NA
"952","florida"
"953","florida"
"954","nebraska"
"955",NA
"956",NA
"957","delaware"
"958",NA
"959",NA
"960","texas"
"961","virginia"
"962","pennsylvania"
"963",NA
"964",NA
"965","maryland"
"966",NA
"967","michigan"
"968",NA
"969","arkansas"
"970","texas"
"971",NA
"972","nebraska"
"973","texas"
"974","idaho"
"975","pennsylvania"
"976",NA
"977",NA
"978",NA
"979","ohio"
"980",NA
"981",NA
"982","nebraska"
"983","texas"
"984","ohio"
"985",NA
"986","new york"
"987","oklahoma"
"988",NA
"989",NA
"990","ohio"
"991","arkansas"
"992","kentucky"
"993",NA
"994","california"
"995","florida"
"996","ohio"
"997",NA
"998",NA
"999",NA
"1000","georgia"
"1001",NA
"1002",NA
"1003",NA
"1004","district of columbia"
"1005",NA
"1006","montana"
"1007","michigan"
"1008",NA
"1009",NA
"1010","ohio"
"1011","texas"
"1012",NA
"1013",NA
"1014",NA
"1015","oregon"
"1016","kentucky"
"1017",NA
"1018","nevada"
"1019","california"
"1020","virginia"
"1021",NA
"1022","georgia"
"1023","nevada"
"1024","new york"
"1025",NA
"1026",NA
"1027","south dakota"
"1028","florida"
"1029","new york"
"1030",NA
"1031",NA
"1032",NA
"1033","georgia"
"1034","illinois"
"1035","ohio"
"1036",NA
"1037","south carolina"
"1038",NA
"1039",NA
"1040","virginia"
"1041",NA
"1042",NA
"1043",NA
"1044","maryland"
"1045",NA
"1046","georgia"
"1047",NA
"1048","florida"
"1049","tennessee"
"1050",NA
"1051","oklahoma"
"1052",NA
"1053","california"
"1054",NA
"1055","texas"
"1056","missouri"
"1057","north carolina"
"1058","new york"
"1059","texas"
"1060","nevada"
"1061","texas"
"1062","virginia"
"1063",NA
"1064","michigan"
"1065","north carolina"
"1066","oregon"
"1067","new mexico"
"1068",NA
"1069","missouri"
"1070","oklahoma"
"1071",NA
"1072","new jersey"
"1073",NA
"1074",NA
"1075","california"
"1076","oklahoma"
"1077",NA
"1078",NA
"1079",NA
"1080","ohio"
"1081","new york"
"1082","kansas"
"1083","california"
"1084",NA
"1085","california"
"1086",NA
"1087","north carolina"
"1088",NA
"1089",NA
"1090",NA
"1091","minnesota"
"1092","colorado"
"1093",NA
"1094","kansas"
"1095","kansas"
"1096",NA
"1097","california"
"1098",NA
"1099","oregon"
"1100",NA
"1101",NA
